m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","c","83"
"2008-08-01 00:00:00","c#","503"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","delphi","13"
"2008-08-01 00:00:00","java","222"
"2008-08-01 00:00:00","javascript","161"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","php","157"
"2008-08-01 00:00:00","python","119"
"2008-08-01 00:00:00","ruby","68"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","c","320"
"2008-09-01 00:00:00","c#","1639"
"2008-09-01 00:00:00","c++","755"
"2008-09-01 00:00:00","delphi","104"
"2008-09-01 00:00:00","java","1127"
"2008-09-01 00:00:00","javascript","633"
"2008-09-01 00:00:00","perl","130"
"2008-09-01 00:00:00","php","474"
"2008-09-01 00:00:00","python","536"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","ruby","286"
"2008-10-01 00:00:00","assembly","16"
"2008-10-01 00:00:00","c","303"
"2008-10-01 00:00:00","c#","1987"
"2008-10-01 00:00:00","c++","806"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","java","1147"
"2008-10-01 00:00:00","javascript","722"
"2008-10-01 00:00:00","perl","128"
"2008-10-01 00:00:00","php","604"
"2008-10-01 00:00:00","python","505"
"2008-10-01 00:00:00","ruby","246"
"2008-11-01 00:00:00","assembly","16"
"2008-11-01 00:00:00","c","258"
"2008-11-01 00:00:00","c#","1729"
"2008-11-01 00:00:00","c++","734"
"2008-11-01 00:00:00","delphi","140"
"2008-11-01 00:00:00","java","954"
"2008-11-01 00:00:00","javascript","581"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","497"
"2008-11-01 00:00:00","python","447"
"2008-11-01 00:00:00","r","1"
"2008-11-01 00:00:00","ruby","154"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","c","188"
"2008-12-01 00:00:00","c#","1594"
"2008-12-01 00:00:00","c++","630"
"2008-12-01 00:00:00","delphi","133"
"2008-12-01 00:00:00","java","825"
"2008-12-01 00:00:00","javascript","625"
"2008-12-01 00:00:00","perl","133"
"2008-12-01 00:00:00","php","474"
"2008-12-01 00:00:00","python","437"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","ruby","159"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","c","317"
"2009-01-01 00:00:00","c#","2373"
"2009-01-01 00:00:00","c++","846"
"2009-01-01 00:00:00","delphi","164"
"2009-01-01 00:00:00","java","1145"
"2009-01-01 00:00:00","javascript","788"
"2009-01-01 00:00:00","perl","146"
"2009-01-01 00:00:00","php","627"
"2009-01-01 00:00:00","python","631"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","ruby","205"
"2009-01-01 00:00:00","swift","1"
"2009-02-01 00:00:00","assembly","36"
"2009-02-01 00:00:00","c","331"
"2009-02-01 00:00:00","c#","2595"
"2009-02-01 00:00:00","c++","841"
"2009-02-01 00:00:00","delphi","167"
"2009-02-01 00:00:00","java","1202"
"2009-02-01 00:00:00","javascript","945"
"2009-02-01 00:00:00","perl","163"
"2009-02-01 00:00:00","php","753"
"2009-02-01 00:00:00","python","630"
"2009-02-01 00:00:00","r","8"
"2009-02-01 00:00:00","ruby","286"
"2009-02-01 00:00:00","swift","1"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","c","429"
"2009-03-01 00:00:00","c#","3156"
"2009-03-01 00:00:00","c++","1045"
"2009-03-01 00:00:00","delphi","161"
"2009-03-01 00:00:00","java","1427"
"2009-03-01 00:00:00","javascript","1006"
"2009-03-01 00:00:00","perl","137"
"2009-03-01 00:00:00","php","893"
"2009-03-01 00:00:00","python","764"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","ruby","329"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","c","454"
"2009-04-01 00:00:00","c#","3303"
"2009-04-01 00:00:00","c++","1015"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","java","1527"
"2009-04-01 00:00:00","javascript","1046"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","php","953"
"2009-04-01 00:00:00","python","770"
"2009-04-01 00:00:00","r","12"
"2009-04-01 00:00:00","ruby","356"
"2009-05-01 00:00:00","assembly","46"
"2009-05-01 00:00:00","c","481"
"2009-05-01 00:00:00","c#","3547"
"2009-05-01 00:00:00","c++","1213"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","java","1813"
"2009-05-01 00:00:00","javascript","1429"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","php","1166"
"2009-05-01 00:00:00","python","995"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","ruby","400"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","assembly","48"
"2009-06-01 00:00:00","c","498"
"2009-06-01 00:00:00","c#","3878"
"2009-06-01 00:00:00","c++","1250"
"2009-06-01 00:00:00","delphi","221"
"2009-06-01 00:00:00","java","2110"
"2009-06-01 00:00:00","javascript","1549"
"2009-06-01 00:00:00","perl","246"
"2009-06-01 00:00:00","php","1569"
"2009-06-01 00:00:00","python","1041"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","ruby","431"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","c","538"
"2009-07-01 00:00:00","c#","4402"
"2009-07-01 00:00:00","c++","1464"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","java","2252"
"2009-07-01 00:00:00","javascript","1752"
"2009-07-01 00:00:00","perl","256"
"2009-07-01 00:00:00","php","2005"
"2009-07-01 00:00:00","python","1157"
"2009-07-01 00:00:00","r","50"
"2009-07-01 00:00:00","ruby","499"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c","530"
"2009-08-01 00:00:00","c#","4443"
"2009-08-01 00:00:00","c++","1398"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","java","2184"
"2009-08-01 00:00:00","javascript","1856"
"2009-08-01 00:00:00","perl","248"
"2009-08-01 00:00:00","php","2170"
"2009-08-01 00:00:00","python","1131"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","ruby","484"
"2009-08-01 00:00:00","swift","3"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","c","572"
"2009-09-01 00:00:00","c#","4347"
"2009-09-01 00:00:00","c++","1460"
"2009-09-01 00:00:00","delphi","251"
"2009-09-01 00:00:00","java","2257"
"2009-09-01 00:00:00","javascript","1756"
"2009-09-01 00:00:00","perl","249"
"2009-09-01 00:00:00","php","2245"
"2009-09-01 00:00:00","python","1169"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","swift","3"
"2009-10-01 00:00:00","assembly","73"
"2009-10-01 00:00:00","c","773"
"2009-10-01 00:00:00","c#","4721"
"2009-10-01 00:00:00","c++","1683"
"2009-10-01 00:00:00","delphi","254"
"2009-10-01 00:00:00","java","2500"
"2009-10-01 00:00:00","javascript","2046"
"2009-10-01 00:00:00","perl","282"
"2009-10-01 00:00:00","php","2337"
"2009-10-01 00:00:00","python","1417"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","492"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","c","957"
"2009-11-01 00:00:00","c#","4675"
"2009-11-01 00:00:00","c++","1745"
"2009-11-01 00:00:00","delphi","274"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","java","2757"
"2009-11-01 00:00:00","javascript","2233"
"2009-11-01 00:00:00","perl","322"
"2009-11-01 00:00:00","php","2669"
"2009-11-01 00:00:00","python","1551"
"2009-11-01 00:00:00","r","93"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","swift","3"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","c","848"
"2009-12-01 00:00:00","c#","4482"
"2009-12-01 00:00:00","c++","1651"
"2009-12-01 00:00:00","delphi","281"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","java","2680"
"2009-12-01 00:00:00","javascript","2304"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","php","2804"
"2009-12-01 00:00:00","python","1585"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","ruby","570"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","assembly","100"
"2010-01-01 00:00:00","c","978"
"2010-01-01 00:00:00","c#","5112"
"2010-01-01 00:00:00","c++","1994"
"2010-01-01 00:00:00","delphi","302"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","java","3721"
"2010-01-01 00:00:00","javascript","2625"
"2010-01-01 00:00:00","perl","300"
"2010-01-01 00:00:00","php","3407"
"2010-01-01 00:00:00","python","1935"
"2010-01-01 00:00:00","r","94"
"2010-01-01 00:00:00","ruby","682"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","c","1033"
"2010-02-01 00:00:00","c#","5092"
"2010-02-01 00:00:00","c++","2276"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","java","3576"
"2010-02-01 00:00:00","javascript","2638"
"2010-02-01 00:00:00","perl","347"
"2010-02-01 00:00:00","php","3142"
"2010-02-01 00:00:00","python","1861"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","ruby","688"
"2010-02-01 00:00:00","swift","2"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","c","1113"
"2010-03-01 00:00:00","c#","6025"
"2010-03-01 00:00:00","c++","2431"
"2010-03-01 00:00:00","delphi","317"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","java","4438"
"2010-03-01 00:00:00","javascript","2987"
"2010-03-01 00:00:00","perl","390"
"2010-03-01 00:00:00","php","3714"
"2010-03-01 00:00:00","python","2070"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","ruby","692"
"2010-03-01 00:00:00","swift","1"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","c","1181"
"2010-04-01 00:00:00","c#","5772"
"2010-04-01 00:00:00","c++","2487"
"2010-04-01 00:00:00","delphi","270"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","java","3874"
"2010-04-01 00:00:00","javascript","3009"
"2010-04-01 00:00:00","perl","363"
"2010-04-01 00:00:00","php","3621"
"2010-04-01 00:00:00","python","1806"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","ruby","752"
"2010-04-01 00:00:00","swift","2"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","c","1178"
"2010-05-01 00:00:00","c#","5924"
"2010-05-01 00:00:00","c++","2414"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","java","4165"
"2010-05-01 00:00:00","javascript","3232"
"2010-05-01 00:00:00","perl","286"
"2010-05-01 00:00:00","php","3952"
"2010-05-01 00:00:00","python","2008"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","ruby","775"
"2010-05-01 00:00:00","swift","1"
"2010-06-01 00:00:00","assembly","90"
"2010-06-01 00:00:00","c","1153"
"2010-06-01 00:00:00","c#","6136"
"2010-06-01 00:00:00","c++","2822"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","java","4275"
"2010-06-01 00:00:00","javascript","3478"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","php","4063"
"2010-06-01 00:00:00","python","2202"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","ruby","850"
"2010-06-01 00:00:00","swift","3"
"2010-07-01 00:00:00","assembly","97"
"2010-07-01 00:00:00","c","1284"
"2010-07-01 00:00:00","c#","6674"
"2010-07-01 00:00:00","c++","2674"
"2010-07-01 00:00:00","delphi","333"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","java","4505"
"2010-07-01 00:00:00","javascript","3877"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","php","4570"
"2010-07-01 00:00:00","python","2583"
"2010-07-01 00:00:00","r","233"
"2010-07-01 00:00:00","ruby","910"
"2010-07-01 00:00:00","swift","1"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","c","1364"
"2010-08-01 00:00:00","c#","6954"
"2010-08-01 00:00:00","c++","2626"
"2010-08-01 00:00:00","delphi","353"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","java","4694"
"2010-08-01 00:00:00","javascript","3999"
"2010-08-01 00:00:00","perl","545"
"2010-08-01 00:00:00","php","5098"
"2010-08-01 00:00:00","python","2490"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","ruby","992"
"2010-08-01 00:00:00","swift","2"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","c","1371"
"2010-09-01 00:00:00","c#","6408"
"2010-09-01 00:00:00","c++","2726"
"2010-09-01 00:00:00","delphi","319"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","java","4703"
"2010-09-01 00:00:00","javascript","3997"
"2010-09-01 00:00:00","perl","460"
"2010-09-01 00:00:00","php","4664"
"2010-09-01 00:00:00","python","2246"
"2010-09-01 00:00:00","r","236"
"2010-09-01 00:00:00","ruby","935"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c","1438"
"2010-10-01 00:00:00","c#","6725"
"2010-10-01 00:00:00","c++","2928"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","java","5016"
"2010-10-01 00:00:00","javascript","4104"
"2010-10-01 00:00:00","perl","498"
"2010-10-01 00:00:00","php","4478"
"2010-10-01 00:00:00","python","2669"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","ruby","925"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","assembly","164"
"2010-11-01 00:00:00","c","1673"
"2010-11-01 00:00:00","c#","7307"
"2010-11-01 00:00:00","c++","3363"
"2010-11-01 00:00:00","delphi","389"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","java","5585"
"2010-11-01 00:00:00","javascript","4542"
"2010-11-01 00:00:00","perl","464"
"2010-11-01 00:00:00","php","5075"
"2010-11-01 00:00:00","python","2599"
"2010-11-01 00:00:00","r","241"
"2010-11-01 00:00:00","ruby","927"
"2010-11-01 00:00:00","swift","1"
"2010-12-01 00:00:00","assembly","125"
"2010-12-01 00:00:00","c","1465"
"2010-12-01 00:00:00","c#","7094"
"2010-12-01 00:00:00","c++","3128"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","go","18"
"2010-12-01 00:00:00","java","5665"
